id,name,lessons_ID
4727,"Introduction to Algebra",4304
4728,"Introduction to Algebra - Quiz",4304
4729,"Introduction to Algebra",4305
4730,"Introduction to Algebra - Quiz",4305
4731,"Introduction to Algebra - Part 1",4305
4732,"Introduction to Algebra - Part 2",4305
4733,"Worded Algebraic Expression - Part 1",4305
4734,"Worded Algebraic Expression - Part 2",4305
4735,"Introduction to Algebra - Quiz Activity",4305
4736,"Expansion of Algebraic Expression",4306
4737,"Expansion of Algebraic Expression - Quiz",4306
4738,"Expansion of Algebraic Expression - Part 1",4306
4739,"Expansion of Algebraic Expression - Part 2",4306
4740,"Expansion of Algebraic Expression - Part 3",4306
4741,"Expansion of Algebraic Expression - Quiz Activity",4306
4742,"Expansion of Algebraic Expression",4307
4743,"Expansion of Algebraic Expression - Quiz",4307
4744,"Factorization of Algebraic Expression",4308
4745,"Factorization of Algebraic Expression - Quiz",4308
4746,"Introduction to Factorization",4308
4747,"Factorization by HCF - Part 1",4308
4748,"Factorization by Grouping Part - 2 &amp; Difference of Two Squares Part 1",4308
4749,"Factorization by Difference of Two Squares - Part 2",4308
4750,"Factorization by HCF - Part 2 &amp; Grouping Part 1",4308
4751,"Factorization of Algebraic Expression - Quiz Activity",4308
4752,Transposition,4309
4753," Transposition - Quiz",4309
4754,"Transposition - Part 1",4309
4755,"Transposition - Part 2",4309
4756,"Transposition - Part 3",4309
4757,"Transposition - Quiz Activity",4309
4758,"Factorization of Algebraic Expression",4310
4759,"Factorization of Algebraic Expression - Quiz",4310
4760,"Solving Linear Equations",4311
4761,"Solving Linear Equations - Quiz",4311
4762,"Introduction to Solving Linear Equations",4311
4763,"Solving Linear Equations - Part 1",4311
4764,"Solving Linear Equations - Part 2",4311
4765,"Steps involved in Solving Linear Equations - Part 1",4311
4766,"Steps involved in Solving Linear Equations - Part 2",4311
4767,"Steps involved in Solving Linear Equations -Part 3",4311
4768,"Solving Linear Equations - Quiz Activity",4311
4769,"Quadratic Expression and Equation",4312
4770,"Quadratic Expression and Equation - Quiz",4312
4771,"Quadratic Expression",4312
4772,"Introduction to Factorization ",4312
4773,"Factorization - Part 1",4312
4774,"Factorization - Part 2",4312
4775," Solving Quadratic Equations",4312
4776,"Solving Quadratic Equations using the Quadratic Formula - Part 1",4312
4777,"Solving Quadratic Equations using the Quadratic Formula - Part 2",4312
4778,"Quadratic Expression and Equation - Quiz Activity",4312
4779,Transposition,4313
4780," Transposition - Quiz",4313
4781,"Solving Linear Equations",4314
4782,"Solving Linear Equations - Quiz",4314
4783,"Quadratic Expression and Equation",4315
4784,"Quadratic Expression and Equation - Quiz",4315
4785,"Simplifying Algbraic Expression",4316
4786,"Simplifying Algbraic Expression - Quiz",4316
4787,"Solving Linear and Quadratic Simultaneous Equation",4317
4788,"Solving Linear and Quadratic Simultaneous Equation - Quiz",4317
4789,"Solving Linear Inequalities",4318
4790,"Solving Linear Inequalities - Quiz",4318
4791,"Direct and Indirect Variation",4319
4792,"Direct and Indirect Variation - Quiz",4319
4793,"Solving Linear and Quadratic Simultaneous Equation",4320
4794,"Solving Linear and Quadratic Simultaneous Equation - Quiz",4320
4795,"Solving Linear Simultaneous Equation: Elimination Method Part 1",4320
4796,"Solving Linear Simultaneous Equation: Elimination Method Part 2",4320
4797,"Simplifying Algebraic Expression",4321
4798,"Simplifying Algbraic Expression - Quiz",4321
4799,"Simplifying Algebra - Part 1",4321
4800,"Simplifying Algebra - Part 2",4321
4801,"Simplifying Algebra - Part 3",4321
4802,"Substitution of Unknown Algebraic Expression - Part 1",4321
4803,"Substitution of Unknown Algebraic Expression - Part 2",4321
4804,"Simplifying Alegbraic Expression - Quiz Activity",4321
4805,"Solving Linear Inequalities",4322
4806,"Solving Linear Inequalities - Quiz",4322
4807,"Inequality Defined",4322
4808,"Set Builder Notation &amp; Number Line ",4322
4809," Solving Linear Inequalities",4322
4810,"Solving Linear Inequality - Quiz Activity",4322
4811,"Direct and Indirect Variation",4323
4812,"Direct and Indirect Variation - Quiz",4323
4813,"Direct &amp; Indirect Variation - Part 1",4323
4814,"Direct &amp; Indirect Variation - Part 2",4323
4815,"Direct &amp; Indirect Variation - Part 3",4323
4816,"Direct &amp; Indirect Variation - Part 4",4323
4817,"Direct and Indirect Variation - Quiz Activity",4323
4818,"Laws of Indices",4324
4819,"Laws of Indices - Quiz",4324
4820,"Law of Indices - Part 1",4324
4821,"Law of Indices - Part 2",4324
4822,"Law of Indices - Part 3",4324
4823,"Laws of Indices - Quiz Activity",4324
4824,"Laws of Indices",4325
4825,"Laws of Indices - Quiz",4325
4826,"Binary Operation",4326
4827,"Binary Operation - Quiz",4326
4828,"Binary Operation - Part 1",4326
4829,"Binary Operation - Part 2",4326
4830,"Binary Operation - Quiz Activity",4326
4831,"Binary Operation",4327
4832,"Binary Operation - Quiz",4327
4833,"Basic Computation",4328
4834,"Basic Computation - Quiz",4328
4835,"Working with Fraction, Percentage &amp; Decimals",4329
4836,"Working with Fractions Decimals and Percentages - Quiz",4329
4837,"Basic Computation",4330
4838,"Basic Computation - Quiz",4330
4839,Fractions,4330
4840," Types Of Fractions",4330
4841,"Conversion of Fractions &amp; Equivalent Fractions",4330
4842,"Addition &amp; Subtraction of Fractions",4330
4843,"Multiplication &amp; Division of Fractions",4330
4844,"Complex Fraction",4330
4845,"Worded Fractions",4330
4846,"Basic Computation - Interactive Video and Poll",4330
4847,"Test Assignment",4330
4848,"Approximation &amp; Standard Form",4331
4849,"Approximation and Standard Form - Quiz",4331
4850,"Working with Fraction, Percentage &amp; Decimals",4332
4851,"Working with Fractions Decimals and Percentages - Quiz",4332
4852,"Percentages - Part 1",4332
4853,"Percentages - Part 2",4332
4854,"Converting Fractions, Percentage &amp; Decimals",4332
4855,"Expressing One Quantity as a Percentage of the Other",4332
4856,"Working with Fraction, Percentage &amp; Decimals - Build A Fraction Game Activity",4332
