id,name,description,explanatory_notes,section_id
4208,"Understanding Exponents with Real Numbers","&lt;p&gt;Students will learn to compute powers of real numbers using the form &lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;msup&gt;&lt;mi&gt;x&lt;/mi&gt;&lt;mi&gt;a&lt;/mi&gt;&lt;/msup&gt;&lt;/math&gt; where &lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mi&gt;a&lt;/mi&gt;&lt;mo&gt;&amp;#8712;&lt;/mo&gt;&lt;mi mathvariant=&quot;double-struck&quot;&gt;Q&lt;/mi&gt;&lt;/math&gt;. They will explore examples such as &lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;msup&gt;&lt;mn&gt;2&lt;/mn&gt;&lt;mn&gt;3&lt;/mn&gt;&lt;/msup&gt;&lt;mo&gt;=&lt;/mo&gt;&lt;mn&gt;8&lt;/mn&gt;&lt;/math&gt; and &lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;msup&gt;&lt;mn&gt;5&lt;/mn&gt;&lt;mn&gt;-2&lt;/mn&gt;&lt;/msup&gt;&lt;mo&gt;=&lt;/mo&gt;&lt;mfrac&gt;&lt;mn&gt;1&lt;/mn&gt;&lt;mn&gt;25&lt;/mn&gt;&lt;/mfrac&gt;&lt;/math&gt;.&lt;/p&gt;","Focus on understanding the concept of raising numbers to positive, negative, and fractional exponents.",427
4209,"Exploring Fractional Exponents","&lt;p&gt;Students will explore how fractional exponents relate to roots. For example, express the fourth root of 16 as a power: &lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;msup&gt;&lt;mn&gt;16&lt;/mn&gt;&lt;mfrac&gt;&lt;mn&gt;1&lt;/mn&gt;&lt;mn&gt;4&lt;/mn&gt;&lt;/mfrac&gt;&lt;/msup&gt;&lt;mo&gt;=&lt;/mo&gt;&lt;mn&gt;2&lt;/mn&gt;&lt;/math&gt;.&lt;/p&gt;","Demonstrate the equivalence between roots and fractional exponents, reinforcing the understanding of these concepts.",427
4210,"Expressing Numbers in Scientific Notation","&lt;p&gt;Students will learn to express large and small rational numbers in scientific notation. For example, convert 759000 into scientific notation as &lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mn&gt;7.59&lt;/mn&gt;&lt;mo&gt;&amp;#8290;&amp;times;&amp;#8290;&lt;/mo&gt;&lt;msup&gt;&lt;mn&gt;10&lt;/mn&gt;&lt;mn&gt;5&lt;/mn&gt;&lt;/msup&gt;&lt;/math&gt;, and 0.00045 as &lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mn&gt;4.5&lt;/mn&gt;&lt;mo&gt;&amp;#8290;&amp;times;&amp;#8290;&lt;/mo&gt;&lt;msup&gt;&lt;mn&gt;10&lt;/mn&gt;&lt;mo&gt;-&lt;/mo&gt;&lt;mn&gt;4&lt;/mn&gt;&lt;/msup&gt;&lt;/math&gt;.&lt;/p&gt;","Emphasize the process of shifting the decimal point and adjusting the exponent of 10 to express numbers in scientific notation.",427
4211,"Applying Exponents and Roots in Real-World Problems","&lt;p&gt;Students will apply their knowledge of exponents and roots to solve real-world problems, such as calculating areas and volumes or interpreting scientific data. For example, determine the volume of a cube with side length 3 cm as &lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;msup&gt;&lt;mn&gt;3&lt;/mn&gt;&lt;mn&gt;3&lt;/mn&gt;&lt;/msup&gt;&lt;mo&gt;=&lt;/mo&gt;&lt;mn&gt;27&lt;/mn&gt;&lt;/math&gt; cubic cm.&lt;/p&gt;","Encourage students to relate mathematical concepts to practical situations, enhancing their problem-solving skills.",427
4212,"Calculating Square Roots and Cube Roots","&lt;p&gt;Students will compute square roots and cube roots of numbers. For example, find the square root of 49 as &lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;msqrt&gt;&lt;mn&gt;49&lt;/mn&gt;&lt;/msqrt&gt;&lt;mo&gt;=&lt;/mo&gt;&lt;mn&gt;7&lt;/mn&gt;&lt;/math&gt; and the cube root of 27 as &lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mroot&gt;&lt;mn&gt;27&lt;/mn&gt;&lt;mn&gt;3&lt;/mn&gt;&lt;/mroot&gt;&lt;mo&gt;=&lt;/mo&gt;&lt;mn&gt;3&lt;/mn&gt;&lt;/math&gt;.&lt;/p&gt;","Students should practice calculating and estimating square roots and cube roots, including recognizing perfect squares and cubes.",427
4066,"Understanding Mathematical Properties","&lt;p&gt;Explore and apply the properties of operations: closure, associativity, commutativity, distributivity, and identities, to simplify expressions and solve equations.&lt;/p&gt;","Students will investigate how mathematical properties can be used to simplify expressions and solve equations, building a foundational understanding for algebra.",428
4067,"Fraction Operations Mastery","&lt;p&gt;Perform addition, subtraction, multiplication, and division of fractions. Simplify results and convert between improper fractions and mixed numbers.&lt;/p&gt;","Students will learn to handle fractions by performing basic operations and converting results to their simplest form. This includes the ability to recognize when to convert mixed numbers to improper fractions and vice versa.",428
4068,"Order of Operations","&lt;p&gt;Apply the order of operations in mathematical expressions involving multiple steps, using parentheses, exponents, and the four basic operations.&lt;/p&gt;","This objective emphasizes the importance of following the correct sequence of operations (PEMDAS/BODMAS) to evaluate complex expressions accurately.",428
4069,"Simplification of Complex Expressions","&lt;p&gt;Simplify complex mathematical expressions using the properties of operations and manage calculations involving multiple steps and mixed operations.&lt;/p&gt;","Students will enhance their ability to simplify expressions by applying properties of operations, reinforcing skills necessary for advanced mathematical problem-solving.",428
4070,"Whole Number Operations Mastery","&lt;p&gt;Understand and perform addition, subtraction, multiplication, and division operations on whole numbers. Apply the correct order of operations to solve problems involving whole numbers.&lt;/p&gt;","Focus on operations involving whole numbers and ensure the correct sequence of operations is applied. Students should be able to solve complex expressions by following the PEMDAS/BODMAS rules.",428
