id,section_name,description,syllabus_id
47,"NDIVIDUAL, FAMILY AND SOCIETY","Understand oneself as a social being and the relationship with family, community, and society.",21
48,Mechanics,"Mechanics is the branch of physics that deals with the study of motion, introducing scientific methods, measurements, significant figures, and units.",18
49,"Thermal Physics and Kinetic Theory","This section covers heat, temperature, and heat transfer, explaining them through kinetic theory at a microscopic level.",18
50,"Waves and Optics","This section deals with wave processes, sound phenomena, and the electromagnetic spectrum, fundamental to understanding optics.",18
51,"Electricity and Magnetism","Explores electrical, magnetic, and electromagnetic principles and phenomena, introducing the importance of electronics in modern society.",18
52,"Physics of the Atom","Studies the structure of the atom and the interactions of subatomic particles, including nuclear energy and its impact on society and the environment.",18
59,"Cell and Molecular Biology","Covers the chemical structure of water, carbohydrates, lipids, proteins, and their roles in living organisms. Also includes cell structure and functions.",23
60,"Genetics, Variation and Natural Selection","Discusses nucleic acids, protein synthesis, cell division, genetic engineering, and natural selection.",23
61,"Reproductive Biology","Focuses on sexual and asexual reproduction in plants, and sexual reproduction in humans, including reproductive systems and gametogenesis.",23
62,"Bioenergetics and Conservation","Details the processes of photosynthesis, cellular respiration, energy flow, and nutrient cycling in ecosystems.",24
63,"Biosystems Maintenance","Covers plant and mammalian transport systems, homeostasis, hormonal action, kidney functions, and nervous coordination.",24
64,"Applications of Biology","Explores the practical applications of biology in areas such as biotechnology, medicine, agriculture, and environmental management.",24
65,"Module 1: Caribbean Society and Culture","This module introduces students to the role of geography in shaping the society and culture of the Caribbean Region and its diaspora, including historical evolution.",14
66,"Module 2: Issues in Caribbean Development","This module explores the interrelationships among social, cultural, political, and economic factors in the development of the Caribbean Region and its diaspora.",14
67,"Module 3: Investigating Issues in the Caribbean","This module introduces students to concepts and skills for conducting research related to Caribbean regional and diasporic experiences.",14
68,"Module 1: Fundamentals in Chemistry","Covers atomic structure, periodic table, bonding, and introductory chemical principles.",26
69,"Module 2: Kinetics and Equilibria","Explores reaction rates, chemical equilibria, and the principles applied in various systems.",26
70,"Module 3: Chemistry of the Elements","Discusses the properties and reactions of different groups of elements and their practical applications.",26
71,"Module 1: The Chemistry of Carbon Compounds","Discusses organic chemistry topics including structure, formulae, functional groups, isomerism, acidity, basicity, and macromolecules.",27
72,"Module 2: Analytical Methods and Separation Techniques","Covers analytical chemistry methods such as titrimetry, chromatography, distillation, and the analysis of data including uncertainty and error.",27
73,"Module 3: Industry and the Environment","Focuses on the application of chemical principles to industry and environmental issues, including Green Chemistry, pollution control, and the environmental impact of industries like aluminum, ammonia, and petroleum production.",27
74,"Listening Comprehension","Section I requires candidates to listen to a sentence and choose the best corresponding picture.",37
75,"Reading Comprehension","Section I involves completing sentences with the most appropriate response from multiple options.",37
76,Speaking,"Oral examination including responding to situations, reading aloud, and guided conversation.",37
77,Writing,"Writing a letter based on provided cues in the target language.",37
